cluster,subcluster,cell
2,0,0
2,0,1
5,0,2
2,0,3
2,0,4
2,0,5
2,0,6
2,0,7
2,0,8
6,0,9
3,0,10
2,0,11
2,0,12
2,0,13
2,0,14
2,0,15
3,0,16
2,0,17
2,0,18
2,0,19
3,0,20
2,0,21
2,0,22
5,0,23
2,0,24
2,0,25
3,0,26
5,0,27
2,0,28
2,0,29
5,0,30
5,0,31
5,0,32
5,0,33
2,0,34
5,0,35
2,0,36
2,0,37
2,0,38
2,0,39
3,0,40
2,0,41
2,0,42
3,0,43
6,0,44
5,0,45
2,0,46
2,0,47
2,0,48
2,0,49
2,0,50
2,0,51
2,0,52
2,0,53
3,0,54
3,0,55
5,0,56
3,0,57
6,0,58
5,0,59
6,0,60
2,0,61
2,0,62
6,0,63
6,0,64
6,0,65
2,0,66
3,0,67
5,0,68
2,0,69
2,0,70
2,0,71
2,0,72
2,0,73
2,0,74
2,0,75
2,0,76
2,0,77
2,0,78
2,0,79
2,0,80
2,0,81
5,0,82
3,0,83
2,0,84
2,0,85
2,0,86
2,0,87
5,0,88
5,0,89
2,0,90
3,0,91
2,0,92
2,0,93
2,0,94
2,0,95
3,0,96
2,0,97
2,0,98
2,0,99
3,0,100
2,0,101
3,0,102
5,0,103
2,0,104
2,0,105
5,0,106
6,0,107
2,0,108
2,0,109
5,0,110
2,0,111
2,0,112
6,0,113
5,0,114
2,0,115
2,0,116
3,0,117
5,0,118
2,0,119
2,0,120
2,0,121
5,0,122
2,0,123
5,0,124
3,0,125
5,0,126
2,0,127
5,0,128
2,0,129
5,0,130
2,0,131
2,0,132
2,0,133
2,0,134
2,0,135
2,0,136
2,0,137
2,0,138
5,0,139
2,0,140
5,0,141
5,0,142
6,0,143
2,0,144
3,0,145
6,0,146
2,0,147
2,0,148
5,0,149
5,0,150
5,0,151
3,0,152
6,0,153
2,0,154
6,0,155
2,0,156
3,0,157
3,0,158
3,0,159
6,0,160
3,0,161
6,0,162
2,0,163
6,0,164
2,0,165
2,0,166
2,0,167
2,0,168
2,0,169
2,0,170
2,0,171
2,0,172
2,0,173
5,0,174
2,0,175
5,0,176
3,0,177
2,0,178
2,0,179
5,0,180
6,0,181
2,0,182
2,0,183
6,0,184
2,0,185
2,0,186
3,0,187
3,0,188
2,0,189
2,0,190
2,0,191
2,0,192
2,0,193
2,0,194
2,0,195
3,0,196
2,0,197
2,0,198
2,0,199
3,0,200
2,0,201
6,0,202
5,0,203
2,0,204
5,0,205
3,0,206
5,0,207
2,0,208
3,0,209
2,0,210
2,0,211
2,0,212
2,0,213
5,0,214
2,0,215
2,0,216
6,0,217
2,0,218
2,0,219
2,0,220
5,0,221
2,0,222
6,0,223
2,0,224
6,0,225
2,0,226
5,0,227
2,0,228
2,0,229
5,0,230
2,0,231
2,0,232
2,0,233
2,0,234
2,0,235
2,0,236
6,0,237
5,0,238
3,0,239
2,0,240
2,0,241
2,0,242
2,0,243
3,0,244
2,0,245
6,0,246
2,0,247
2,0,248
2,0,249
2,0,250
6,0,251
2,0,252
2,0,253
6,0,254
5,0,255
5,0,256
2,0,257
2,0,258
2,0,259
2,0,260
2,0,261
5,0,262
2,0,263
6,0,264
2,0,265
5,0,266
2,0,267
5,0,268
2,0,269
2,0,270
2,0,271
2,0,272
2,0,273
5,0,274
2,0,275
2,0,276
2,0,277
2,0,278
2,0,279
2,0,280
2,0,281
3,0,282
2,0,283
2,0,284
2,0,285
2,0,286
5,0,287
2,0,288
5,0,289
3,0,290
2,0,291
6,0,292
2,0,293
2,0,294
2,0,295
5,0,296
2,0,297
6,0,298
2,0,299
6,0,300
2,0,301
2,0,302
2,0,303
3,0,304
2,0,305
2,0,306
6,0,307
6,0,308
2,0,309
2,0,310
2,0,311
2,0,312
3,0,313
5,0,314
2,0,315
2,0,316
3,0,317
3,0,318
5,0,319
6,0,320
2,0,321
2,0,322
2,0,323
5,0,324
5,0,325
2,0,326
6,0,327
2,0,328
5,0,329
2,0,330
2,0,331
5,0,332
5,0,333
5,0,334
